2025-06-18 15:55:41,556 [DEBUG] 📁 Log file created at: \\mull.sms.ed.ac.uk\home\s1834431\Win7\Desktop\fem_model\post_processing\results\job_0011_2025-06-18_15-55-33-619286_pid33080_9a2e6874\logs\ModifyGlobalSystem.log (Module: modification, Line: 97)
2025-06-18 15:55:41,557 [INFO] 🔧 Applying stabilized boundary conditions... (Module: modification, Line: 115)
2025-06-18 15:55:41,558 [DEBUG] Computed penalty value: 4.48e+51 (Module: modification, Line: 172)
2025-06-18 15:55:41,559 [DEBUG] 
======================================== System Diagnostics ======================================== (Module: modification, Line: 263)
2025-06-18 15:55:41,560 [DEBUG] Original Non-zeros: 1204
Modified Non-zeros: 1198
Penalty Value: 4.48e+51
Stabilization Factor: 4.48e+41 (Module: modification, Line: 275)
2025-06-18 15:55:41,577 [DEBUG] 
Matrix Sample (COO format):
 Row  Col         Value
 165  171 -6.565378e+07
 180  174 -2.000000e+11
 228  228  4.000000e+11
  13    7 -5.600112e+14
 375  369 -6.565378e+07
 386  380 -2.240011e+15
 561  561  1.313076e+08
 176  176  4.480022e+15
 554  560 -2.240011e+15
 159  165 -6.565378e+07
 325  325  1.120022e+15
 229  235 -5.600112e+14
  90   84 -2.000000e+11
 603  597 -6.565378e+07
  69   75 -6.565378e+07
 504  510 -2.000000e+11
 452  452  4.480022e+15
  43   43  1.120022e+15
 434  440 -2.240011e+15
 176  182 -2.240011e+15
 201  201  1.313076e+08
 199  193 -5.600112e+14
 195  201 -6.565378e+07
  63   57 -6.565378e+07
 487  493 -5.600112e+14
 411  405 -6.565378e+07
 117  123 -6.565378e+07
 505  499 -5.600112e+14
  14   14  4.480022e+15
 531  537 -6.565378e+07
 590  596 -2.240011e+15
 128  134 -2.240011e+15
 126  126  4.000000e+11
 525  531 -6.565378e+07
  21   15 -6.565378e+07
 450  456 -2.000000e+11
 258  258  4.000000e+11
 440  440  4.480022e+15
 464  458 -2.240011e+15
  57   63 -6.565378e+07
 193  199 -5.600112e+14
 312  306 -2.000000e+11
 306  312 -2.000000e+11
 318  318  4.000000e+11
 295  295  1.120022e+15
  90   90  4.000000e+11
 122  128 -2.240011e+15
 590  584 -2.240011e+15
 432  426 -2.000000e+11
 591  585 -6.565378e+07
 164  164  4.480022e+15
 456  450 -2.000000e+11
  81   75 -6.565378e+07
 315  315  1.313076e+08
  73   73  1.120022e+15
  67   61 -5.600112e+14
 231  231  1.313076e+08
  37   37  1.120022e+15
 318  312 -2.000000e+11
 307  301 -5.600112e+14
 468  462 -2.000000e+11
 428  422 -2.240011e+15
  92   98 -2.240011e+15
 481  475 -5.600112e+14
 211  217 -5.600112e+14
  54   60 -2.000000e+11
 373  373  1.120022e+15
 456  462 -2.000000e+11
 170  176 -2.240011e+15
 483  483  1.313076e+08
 114  120 -2.000000e+11
 199  205 -5.600112e+14
 554  548 -2.240011e+15
 158  158  4.480022e+15
 525  525  1.313076e+08
 564  564  4.000000e+11
 267  261 -6.565378e+07
 348  342 -2.000000e+11
 127  121 -5.600112e+14
 264  258 -2.000000e+11
 374  368 -2.240011e+15
 507  513 -6.565378e+07
 505  511 -5.600112e+14
 324  330 -2.000000e+11
  56   50 -2.240011e+15
 380  374 -2.240011e+15
 440  446 -2.240011e+15
  30   30  4.000000e+11
 306  300 -2.000000e+11
 181  181  1.120022e+15
 234  240 -2.000000e+11
  14   20 -2.240011e+15
 192  186 -2.000000e+11
 272  278 -2.240011e+15
 114  108 -2.000000e+11
 296  296  4.480022e+15
 351  345 -6.565378e+07
 378  372 -2.000000e+11
 471  471  1.313076e+08
 105  111 -6.565378e+07
 464  470 -2.240011e+15
 253  247 -5.600112e+14
 261  261  1.313076e+08
 342  348 -2.000000e+11
 192  192  4.000000e+11
  97   91 -5.600112e+14
 206  200 -2.240011e+15
 517  517  1.120022e+15
 205  199 -5.600112e+14
 367  361 -5.600112e+14
 456  456  4.000000e+11
 224  224  4.480022e+15
  69   69  1.313076e+08
  91   85 -5.600112e+14
 349  349  1.120022e+15
 218  212 -2.240011e+15
 391  397 -5.600112e+14
 594  588 -2.000000e+11
 518  518  4.480022e+15
 435  429 -6.565378e+07
  51   51  1.313076e+08
 512  506 -2.240011e+15
 321  315 -6.565378e+07
 253  259 -5.600112e+14
  42   36 -2.000000e+11
  49   43 -5.600112e+14
 420  414 -2.000000e+11
 349  355 -5.600112e+14
 549  543 -6.565378e+07
   0    0  4.480022e+51
 283  283  1.120022e+15
 345  339 -6.565378e+07
 200  194 -2.240011e+15
 242  236 -2.240011e+15
 549  549  1.313076e+08
 264  264  4.000000e+11
  57   51 -6.565378e+07
 488  494 -2.240011e+15
 499  499  1.120022e+15
 486  486  4.000000e+11
 115  121 -5.600112e+14
 522  528 -2.000000e+11
 168  168  4.000000e+11
  55   55  1.120022e+15
 570  564 -2.000000e+11
 314  308 -2.240011e+15
 241  247 -5.600112e+14
 110  110  4.480022e+15
 357  351 -6.565378e+07
  72   72  4.000000e+11
 127  127  1.120022e+15
 594  600 -2.000000e+11
 459  453 -6.565378e+07
 542  548 -2.240011e+15
 441  435 -6.565378e+07
 495  489 -6.565378e+07
 429  423 -6.565378e+07
 421  415 -5.600112e+14
 187  181 -5.600112e+14
 128  122 -2.240011e+15
 372  378 -2.000000e+11
  18   12 -2.000000e+11
 445  439 -5.600112e+14
 212  212  4.480022e+15
 391  385 -5.600112e+14
 344  338 -2.240011e+15
 386  392 -2.240011e+15
   3    3  4.480022e+51
  72   66 -2.000000e+11
 181  187 -5.600112e+14
 150  156 -2.000000e+11
 354  348 -2.000000e+11
 523  529 -5.600112e+14
 582  576 -2.000000e+11
 498  504 -2.000000e+11
 117  117  1.313076e+08
 325  331 -5.600112e+14
 116  116  4.480022e+15
 116  122 -2.240011e+15
 188  188  4.480022e+15
 470  470  4.480022e+15
 174  174  4.000000e+11
 213  207 -6.565378e+07
 475  475  1.120022e+15
 306  306  4.000000e+11
 543  549 -6.565378e+07
 135  141 -6.565378e+07
 230  236 -2.240011e+15
  36   36  4.000000e+11
 518  524 -2.240011e+15
 183  183  1.313076e+08
 122  122  4.480022e+15
 330  324 -2.000000e+11
  60   66 -2.000000e+11
 444  444  4.000000e+11
 270  276 -2.000000e+11
 291  297 -6.565378e+07
  67   67  1.120022e+15
 133  139 -5.600112e+14
 513  519 -6.565378e+07
 363  369 -6.565378e+07
 489  483 -6.565378e+07
 350  356 -2.240011e+15
  73   67 -5.600112e+14
 560  560  4.480022e+15
   6   12 -2.000000e+11
 254  260 -2.240011e+15
 319  325 -5.600112e+14
 189  183 -6.565378e+07
 482  488 -2.240011e+15
 210  210  4.000000e+11
 207  201 -6.565378e+07
 588  588  4.000000e+11
 477  477  1.313076e+08
 181  175 -5.600112e+14
 398  392 -2.240011e+15
  80   80  4.480022e+15
 288  282 -2.000000e+11
 276  270 -2.000000e+11
 175  181 -5.600112e+14
 157  151 -5.600112e+14
 309  309  1.313076e+08
 438  432 -2.000000e+11
 144  150 -2.000000e+11
 517  511 -5.600112e+14
 537  537  1.313076e+08
  32   26 -2.240011e+15
 204  210 -2.000000e+11
 290  284 -2.240011e+15
 241  235 -5.600112e+14
 237  237  1.313076e+08
 462  468 -2.000000e+11
 463  463  1.120022e+15
 570  570  4.000000e+11
 465  459 -6.565378e+07
 392  386 -2.240011e+15
 255  255  1.313076e+08
 444  438 -2.000000e+11
 363  363  1.313076e+08
 494  500 -2.240011e+15
 327  327  1.313076e+08
 343  349 -5.600112e+14
